complaint_id,filed_on,resolved_on,ward,category,description,status,channel,priority,citizen_age,satisfaction_score
GRV-1026,2025-05-13,,Ward-12,Street Lighting,Street lights not working for 2 weeks,Open,Phone Call,Low,70.0,nan
GRV-1027,2025-12-13,2025-12-19,Ward-03,Waste Management,Garbage truck does not come on schedule,Closed,Website,High,41.0,2.0
GRV-1028,2025-04-16,2025-05-02,Ward-05,Noise & Pollution,Dust from road construction affecting residents,Resolved,Website,Critical,50.0,3.0
GRV-1029,2025-08-22,,Ward-20,Waste Management,Illegal dumping of waste on street,In Progress,Website,Critical,,nan
GRV-1030,2026-02-23,2026-03-15,Ward-13,Sewage & Drainage,Blocked drain causing flooding in colony,Resolved,Phone Call,Medium,58.0,2.0
GRV-1031,2026-01-16,,Ward-08,Sewage & Drainage,Manhole cover missing – safety hazard,Open,Mobile App,Medium,59.0,nan
GRV-1032,2025-02-21,,Ward-08,Sewage & Drainage,Sewage mixing with drinking water pipeline,Open,Mobile App,Low,66.0,nan
GRV-1033,2025-12-27,,Ward-02,Public Property,Park benches broken and vandalised,Open,Phone Call,Low,26.0,nan
GRV-1034,2025-04-26,2025-05-20,Ward-07,Waste Management,Illegal dumping of waste on street,Resolved,WhatsApp,Low,50.0,3.0
GRV-1035,2025-11-24,,Ward-16,Sewage & Drainage,Sewage mixing with drinking water pipeline,In Progress,Website,Low,52.0,nan
GRV-1036,2025-01-07,,Ward-14,Water Supply,Water pipeline leakage on main road,In Progress,Website,High,63.0,nan
GRV-1037,2025-03-10,,,Water Supply,No water supply for 3 days,Open,Phone Call,High,65.0,nan
GRV-1038,2025-11-05,,Ward-18,Water Supply,Low water pressure in pipes,Open,Website,Low,68.0,nan
GRV-1039,2025-12-12,,Ward-03,Waste Management,Illegal dumping of waste on street,In Progress,Website,High,38.0,nan
GRV-1040,2026-01-24,,Ward-18,Noise & Pollution,Dust from road construction affecting residents,Open,Mobile App,Critical,36.0,nan
GRV-1041,2026-02-24,,Ward-16,Noise & Pollution,Factory emitting foul-smelling smoke,Open,Website,Low,46.0,nan
GRV-1042,2024-11-06,,Ward-01,Street Lighting,Street lights not working for 2 weeks,Open,Website,Low,70.0,nan
GRV-1043,2025-01-24,,Ward-18,Noise & Pollution,Loud music from nearby event venue,Open,Website,Low,40.0,nan
GRV-1044,2025-02-05,,Ward-19,Road & Infrastructure,Road completely waterlogged after rain,Rejected,WhatsApp,Low,71.0,nan
GRV-1045,2025-07-15,,Ward-16,Road & Infrastructure,Large pothole causing accidents on highway,Open,WhatsApp,Critical,44.0,nan
GRV-1046,2025-01-12,,Ward-17,Sewage & Drainage,Blocked drain causing flooding in colony,Open,Mobile App,High,65.0,nan
GRV-1047,2026-03-22,,Ward-08,Water Supply,Water meter not working properly,Open,Website,Low,,nan
GRV-1048,2024-11-05,,Ward-02,Sewage & Drainage,Blocked drain causing flooding in colony,In Progress,WhatsApp,Low,63.0,nan
GRV-1049,2026-01-14,,,Public Property,Encroachment on footpath by shop owners,In Progress,Phone Call,Critical,49.0,nan
GRV-1050,2025-04-08,,Ward-13,Waste Management,Illegal dumping of waste on street,Open,Walk-In,Medium,39.0,nan
GRV-1051,2024-11-23,,Ward-03,Road & Infrastructure,Speed breaker removed without notice,Open,Mobile App,Medium,25.0,nan
GRV-1052,2024-10-05,,Ward-07,Sewage & Drainage,Sewage overflowing onto road,Open,WhatsApp,Low,49.0,nan
GRV-1053,2025-06-26,2025-07-15,Ward-12,Road & Infrastructure,Large pothole causing accidents on highway,Closed,Phone Call,Low,34.0,3.0
GRV-1054,2024-11-27,2024-12-18,Ward-20,Noise & Pollution,Dust from road construction affecting residents,Resolved,,Critical,40.0,4.0
GRV-1055,2024-11-27,,Ward-18,Noise & Pollution,Dust from road construction affecting residents,Open,Phone Call,Critical,49.0,nan
GRV-1056,2026-01-31,,Ward-04,Water Supply,Low water pressure in pipes,Open,WhatsApp,Low,56.0,nan
GRV-1057,2025-06-04,,,Road & Infrastructure,Road construction debris not cleared,Open,Phone Call,Low,68.0,nan
GRV-1058,2025-07-12,,Ward-09,Public Property,Tree fallen on parked vehicles,In Progress,Mobile App,Low,66.0,nan
GRV-1059,2025-12-27,,Ward-11,Street Lighting,Electric pole fallen on road – dangerous,Open,Walk-In,Medium,65.0,nan
GRV-1060,2025-07-16,2025-08-11,Ward-18,Road & Infrastructure,Road completely waterlogged after rain,Resolved,Website,Medium,27.0,4.0
GRV-1061,2025-03-29,2025-04-24,Ward-05,Water Supply,No water supply for 3 days,Closed,WhatsApp,Low,49.0,5.0
GRV-1062,2026-02-28,,Ward-14,Road & Infrastructure,Road construction debris not cleared,In Progress,Walk-In,Low,,nan
GRV-1063,2025-10-15,2025-10-26,Ward-07,Road & Infrastructure,Large pothole causing accidents on highway,Closed,Walk-In,Medium,54.0,1.0
GRV-1064,2025-11-21,2025-12-20,Ward-14,Road & Infrastructure,Road construction debris not cleared,Closed,WhatsApp,High,30.0,2.0
GRV-1065,2025-06-10,,Ward-06,Waste Management,Overflowing dustbin near bus stop,Rejected,Website,Low,34.0,nan
GRV-1066,2025-11-22,2025-12-18,Ward-14,Public Property,Tree fallen on parked vehicles,Resolved,Walk-In,Low,70.0,3.0
GRV-1067,2025-11-17,,,Noise & Pollution,Construction noise beyond permitted hours,In Progress,Mobile App,High,74.0,nan
GRV-1068,2025-12-31,2026-01-03,Ward-15,Waste Management,Overflowing dustbin near bus stop,Resolved,Phone Call,Medium,65.0,1.0
GRV-1069,2025-01-04,,Ward-07,Noise & Pollution,Factory emitting foul-smelling smoke,Open,Website,Medium,54.0,nan
GRV-1070,2025-07-06,,Ward-09,Noise & Pollution,Construction noise beyond permitted hours,Rejected,Phone Call,Medium,34.0,nan
GRV-1071,2025-09-07,,Ward-01,Street Lighting,Broken street light reported multiple times,Open,Mobile App,High,,nan
GRV-1072,2024-12-15,,Ward-09,Road & Infrastructure,Road completely waterlogged after rain,In Progress,Mobile App,Low,48.0,nan
GRV-1073,2026-02-18,2026-02-21,Ward-11,Street Lighting,Electric pole fallen on road – dangerous,Resolved,Website,Medium,29.0,3.0
GRV-1074,2026-01-12,,Ward-19,Sewage & Drainage,Sewage overflowing onto road,In Progress,Walk-In,Low,74.0,nan
GRV-1075,2024-11-11,,Ward-18,Public Property,Stray dogs attacking residents near park,Open,Walk-In,Medium,22.0,nan
GRV-1076,2025-05-23,2025-06-01,Ward-04,Water Supply,Dirty/contaminated water coming from tap,Resolved,Phone Call,Medium,27.0,1.0
GRV-1077,2025-06-10,,Ward-10,Public Property,Stray dogs attacking residents near park,Open,WhatsApp,Low,,nan
GRV-1078,2025-04-12,2025-05-01,Ward-06,Street Lighting,Short circuit sparks from street light,Resolved,WhatsApp,Medium,25.0,1.0
GRV-1079,2025-09-07,2025-10-02,Ward-10,Street Lighting,Broken street light reported multiple times,Resolved,Phone Call,Low,62.0,4.0
GRV-1080,2025-11-19,2025-11-26,Ward-11,Noise & Pollution,Dust from road construction affecting residents,Resolved,Website,Medium,44.0,3.0
GRV-1081,2024-11-08,,Ward-06,Public Property,Public toilet locked / not accessible,In Progress,Mobile App,Low,67.0,nan
GRV-1082,2026-01-19,,Ward-08,Public Property,Encroachment on footpath by shop owners,Open,Phone Call,Low,56.0,nan
GRV-1083,2025-09-13,,Ward-08,Waste Management,Overflowing dustbin near bus stop,Open,Website,Medium,,nan
GRV-1084,2025-01-25,,Ward-19,Noise & Pollution,Construction noise beyond permitted hours,In Progress,,Low,49.0,nan
GRV-1085,2024-12-19,,Ward-08,Public Property,Stray dogs attacking residents near park,In Progress,Walk-In,Medium,54.0,nan
GRV-1086,2026-03-16,2026-04-02,Ward-08,Water Supply,No water supply for 3 days,Resolved,Walk-In,High,31.0,1.0
GRV-1087,2025-10-08,,Ward-18,Public Property,Encroachment on footpath by shop owners,In Progress,Walk-In,Critical,,nan
GRV-1088,2025-08-26,,Ward-15,Water Supply,Water pipeline leakage on main road,Open,WhatsApp,Critical,29.0,nan
GRV-1089,2024-10-08,,Ward-15,Sewage & Drainage,Foul smell from open drainage channel,Rejected,WhatsApp,High,25.0,nan
GRV-1090,2026-03-24,2026-04-20,Ward-18,Sewage & Drainage,Manhole cover missing – safety hazard,Resolved,Website,High,,1.0
GRV-1091,2026-01-04,,Ward-08,Public Property,Stray dogs attacking residents near park,In Progress,Phone Call,High,,nan
GRV-1092,2025-06-13,2025-06-23,Ward-09,Sewage & Drainage,Manhole cover missing – safety hazard,Resolved,Website,Low,73.0,3.0
GRV-1093,2024-10-05,,,Road & Infrastructure,Road completely waterlogged after rain,Open,Phone Call,High,18.0,nan
GRV-1094,2025-07-09,,Ward-13,Water Supply,Low water pressure in pipes,Open,Walk-In,High,44.0,nan
GRV-1095,2025-01-13,,Ward-18,Water Supply,Water pipeline leakage on main road,In Progress,Website,Medium,,nan
GRV-1096,2025-12-11,,Ward-19,Waste Management,No waste bins available in the area,In Progress,Mobile App,High,27.0,nan
GRV-1097,2024-12-24,,Ward-01,Noise & Pollution,Dust from road construction affecting residents,In Progress,Phone Call,Low,68.0,nan
GRV-1098,2025-12-20,,Ward-18,Street Lighting,Short circuit sparks from street light,In Progress,WhatsApp,High,51.0,nan
GRV-1099,2025-06-07,,Ward-16,Street Lighting,Frequent power fluctuation in area,Open,Mobile App,Medium,67.0,nan
GRV-1100,2025-10-24,2025-11-10,Ward-15,Public Property,Stray dogs attacking residents near park,Resolved,Walk-In,Critical,65.0,5.0
GRV-1101,2024-12-14,2025-01-11,Ward-19,Sewage & Drainage,Sewage overflowing onto road,Closed,WhatsApp,Medium,51.0,2.0
GRV-1102,2025-08-31,,Ward-15,Water Supply,Water pipeline leakage on main road,Open,Walk-In,Low,69.0,nan
GRV-1103,2025-08-31,,Ward-11,Street Lighting,Electric pole fallen on road – dangerous,Open,Phone Call,High,68.0,nan
GRV-1104,2025-02-15,2025-03-15,Ward-14,Street Lighting,Electric pole fallen on road – dangerous,Resolved,Phone Call,High,37.0,2.0
GRV-1105,2024-11-22,2024-12-03,Ward-02,Street Lighting,Street lights not working for 2 weeks,Resolved,Phone Call,Low,65.0,1.0
GRV-1106,2025-04-01,2025-04-17,Ward-08,Water Supply,No water supply for 3 days,Resolved,Walk-In,High,25.0,4.0
GRV-1107,2025-07-08,,Ward-16,Sewage & Drainage,Blocked drain causing flooding in colony,Open,Mobile App,Medium,46.0,nan
GRV-1108,2024-11-20,2024-12-18,,Waste Management,No waste bins available in the area,Resolved,Phone Call,Low,59.0,5.0
GRV-1109,2026-02-25,2026-03-11,Ward-06,Sewage & Drainage,Sewage overflowing onto road,Resolved,Phone Call,Low,51.0,2.0
GRV-1110,2024-12-12,,Ward-13,Water Supply,Dirty/contaminated water coming from tap,In Progress,Website,Critical,,nan
GRV-1111,2024-11-17,,Ward-08,Waste Management,Garbage not collected for a week,In Progress,Mobile App,Medium,,nan
GRV-1112,2025-06-10,2025-07-04,Ward-19,Road & Infrastructure,Road construction debris not cleared,Resolved,Mobile App,Medium,39.0,4.0
GRV-1113,2024-12-17,,Ward-11,Street Lighting,Electric pole fallen on road – dangerous,Open,Mobile App,High,31.0,nan
GRV-1114,2024-10-07,,Ward-12,Noise & Pollution,Loud music from nearby event venue,Open,Website,High,60.0,nan
GRV-1115,2025-07-01,2025-07-16,Ward-09,Street Lighting,Frequent power fluctuation in area,Resolved,WhatsApp,High,42.0,4.0
GRV-1116,2024-11-08,,Ward-19,Sewage & Drainage,Manhole cover missing – safety hazard,In Progress,Phone Call,Medium,43.0,nan
GRV-1117,2025-02-22,,Ward-15,Waste Management,Garbage not collected for a week,Open,Walk-In,High,27.0,nan
GRV-1118,2025-02-23,2025-02-25,Ward-11,Sewage & Drainage,Sewage mixing with drinking water pipeline,Resolved,Mobile App,Medium,64.0,1.0
GRV-1119,2025-11-29,,Ward-12,Road & Infrastructure,Road completely waterlogged after rain,In Progress,Phone Call,Medium,51.0,nan
GRV-1120,2025-10-12,,Ward-17,Sewage & Drainage,Foul smell from open drainage channel,In Progress,Walk-In,Low,23.0,nan
GRV-1121,2025-09-15,,Ward-08,Public Property,Stray dogs attacking residents near park,In Progress,Website,Medium,,nan
GRV-1122,2025-05-31,2025-06-24,,Street Lighting,Short circuit sparks from street light,Resolved,Mobile App,Low,48.0,4.0
GRV-1123,2024-12-14,,Ward-19,Street Lighting,Frequent power fluctuation in area,Open,Phone Call,Medium,66.0,nan
GRV-1124,2025-12-15,,Ward-18,Sewage & Drainage,Foul smell from open drainage channel,In Progress,Phone Call,Medium,43.0,nan
GRV-1125,2025-08-22,,Ward-08,Street Lighting,Electric pole fallen on road – dangerous,Open,Mobile App,High,37.0,nan
GRV-1126,2025-02-17,2025-02-23,Ward-06,Road & Infrastructure,Large pothole causing accidents on highway,Resolved,Walk-In,Low,54.0,4.0
GRV-1127,2025-06-16,2025-06-26,Ward-17,Street Lighting,Electric pole fallen on road – dangerous,Resolved,WhatsApp,Low,,4.0
GRV-1128,2024-10-13,,Ward-12,Water Supply,Low water pressure in pipes,Open,Walk-In,Medium,,nan
GRV-1129,2025-11-23,,Ward-02,Public Property,Encroachment on footpath by shop owners,Open,Mobile App,Medium,61.0,nan
GRV-1130,2025-10-11,2025-10-14,Ward-16,Public Property,Public toilet locked / not accessible,Resolved,Mobile App,High,52.0,4.0
GRV-1131,2025-09-14,,Ward-15,Sewage & Drainage,Foul smell from open drainage channel,In Progress,Phone Call,Low,31.0,nan
GRV-1132,2025-03-14,2025-04-09,Ward-16,Water Supply,Dirty/contaminated water coming from tap,Closed,Mobile App,High,21.0,2.0
GRV-1133,2024-12-28,,Ward-02,Street Lighting,Short circuit sparks from street light,Open,Walk-In,Low,57.0,nan
GRV-1134,2025-11-26,,Ward-08,Sewage & Drainage,Foul smell from open drainage channel,Open,Mobile App,Medium,50.0,nan
GRV-1135,2026-02-15,,Ward-20,Street Lighting,Broken street light reported multiple times,In Progress,Walk-In,High,57.0,nan
GRV-1136,2025-04-16,2025-04-24,Ward-10,Street Lighting,Short circuit sparks from street light,Closed,WhatsApp,Critical,59.0,5.0
GRV-1137,2025-07-16,2025-07-20,Ward-20,Road & Infrastructure,Road construction debris not cleared,Resolved,Mobile App,Critical,46.0,1.0
GRV-1138,2025-11-15,,Ward-03,Waste Management,Overflowing dustbin near bus stop,Open,Walk-In,Low,39.0,nan
GRV-1139,2025-01-26,,Ward-14,Sewage & Drainage,Sewage overflowing onto road,Open,Website,Medium,53.0,nan
GRV-1140,2024-10-15,,Ward-10,Street Lighting,Electric pole fallen on road – dangerous,Open,Phone Call,High,64.0,nan
GRV-1141,2025-02-07,2025-02-11,,Street Lighting,Street lights not working for 2 weeks,Resolved,Phone Call,High,53.0,3.0
GRV-1142,2024-12-08,2024-12-16,Ward-07,Public Property,Encroachment on footpath by shop owners,Resolved,Website,Low,55.0,2.0
GRV-1143,2025-07-29,2025-08-06,Ward-05,Waste Management,Overflowing dustbin near bus stop,Closed,Mobile App,Low,35.0,4.0
GRV-1144,2026-01-03,,Ward-19,Noise & Pollution,Burning of garbage creating air pollution,In Progress,Phone Call,Medium,22.0,nan
GRV-1145,2025-10-13,2025-10-27,Ward-09,Street Lighting,Electric pole fallen on road – dangerous,Resolved,WhatsApp,Medium,57.0,3.0
GRV-1146,2025-11-11,,Ward-14,Street Lighting,Street lights not working for 2 weeks,In Progress,Phone Call,Medium,43.0,nan
GRV-1147,2024-10-01,,Ward-19,Water Supply,No water supply for 3 days,Open,WhatsApp,Critical,57.0,nan
GRV-1148,2025-08-05,,Ward-06,Noise & Pollution,Burning of garbage creating air pollution,In Progress,Website,Medium,70.0,nan
GRV-1149,2025-06-01,,Ward-19,Street Lighting,Electric pole fallen on road – dangerous,Open,Website,Medium,19.0,nan
GRV-1150,2025-11-22,,Ward-14,Street Lighting,Street lights not working for 2 weeks,In Progress,Phone Call,Medium,61.0,nan
GRV-1151,2025-03-29,,Ward-16,Water Supply,Low water pressure in pipes,Open,Phone Call,Medium,66.0,nan
GRV-1152,2025-03-05,,Ward-03,Street Lighting,Broken street light reported multiple times,Open,Phone Call,Low,34.0,nan
GRV-1153,2025-02-25,2025-03-26,Ward-01,Water Supply,Water pipeline leakage on main road,Closed,WhatsApp,Medium,57.0,1.0
GRV-1154,2025-02-18,,Ward-20,Water Supply,Low water pressure in pipes,In Progress,Website,Medium,73.0,nan
GRV-1155,2025-08-01,,,Noise & Pollution,Construction noise beyond permitted hours,Open,WhatsApp,Low,57.0,nan
GRV-1156,2025-10-06,2025-11-03,Ward-16,Road & Infrastructure,Speed breaker removed without notice,Closed,Mobile App,Low,66.0,3.0
GRV-1157,2025-06-21,2025-07-01,Ward-06,Public Property,Encroachment on footpath by shop owners,Resolved,Phone Call,Medium,27.0,2.0
GRV-1158,2025-10-15,,Ward-04,Sewage & Drainage,Manhole cover missing – safety hazard,Open,Website,Critical,49.0,nan
GRV-1159,2024-10-08,,,Public Property,Public toilet locked / not accessible,In Progress,Phone Call,Medium,41.0,nan
GRV-1160,2025-08-24,2025-08-27,Ward-16,Road & Infrastructure,Speed breaker removed without notice,Resolved,Walk-In,Medium,68.0,2.0
GRV-1161,2025-01-04,,Ward-20,Waste Management,No waste bins available in the area,Open,WhatsApp,High,63.0,nan
GRV-1162,2026-02-12,,Ward-14,Waste Management,Garbage not collected for a week,Open,Phone Call,Critical,48.0,nan
GRV-1163,2024-10-07,2024-10-28,Ward-10,Sewage & Drainage,Foul smell from open drainage channel,Resolved,Phone Call,High,36.0,3.0
GRV-1164,2025-07-12,2025-07-27,Ward-15,Sewage & Drainage,Manhole cover missing – safety hazard,Closed,WhatsApp,Medium,22.0,2.0
GRV-1165,2025-10-21,2025-11-10,Ward-13,Road & Infrastructure,Road construction debris not cleared,Resolved,Website,Critical,22.0,1.0
GRV-1166,2025-05-14,,Ward-08,Noise & Pollution,Factory emitting foul-smelling smoke,Rejected,WhatsApp,Medium,39.0,nan
GRV-1167,2025-03-07,,Ward-16,Noise & Pollution,Loud music from nearby event venue,Open,Website,Medium,49.0,nan
GRV-1168,2025-04-27,,Ward-02,Public Property,Public toilet locked / not accessible,In Progress,Walk-In,Medium,62.0,nan
GRV-1169,2025-07-05,2025-07-31,Ward-15,Sewage & Drainage,Foul smell from open drainage channel,Closed,Mobile App,Medium,46.0,5.0
GRV-1170,2024-12-14,2024-12-24,Ward-14,Street Lighting,Street lights not working for 2 weeks,Resolved,Walk-In,Low,53.0,2.0
GRV-1171,2024-10-17,,Ward-13,Noise & Pollution,Burning of garbage creating air pollution,Open,Mobile App,High,29.0,nan
GRV-1172,2025-09-07,,Ward-11,Noise & Pollution,Dust from road construction affecting residents,In Progress,Website,High,23.0,nan
GRV-1173,2025-06-25,,Ward-10,Water Supply,Water meter not working properly,Open,Walk-In,High,27.0,nan
GRV-1174,2026-01-19,2026-01-21,Ward-04,Street Lighting,Street lights not working for 2 weeks,Resolved,Website,Low,71.0,3.0
GRV-1175,2025-07-19,,Ward-02,Road & Infrastructure,Large pothole causing accidents on highway,Open,Phone Call,Medium,28.0,nan
GRV-1176,2025-01-21,,Ward-14,Street Lighting,Frequent power fluctuation in area,Open,WhatsApp,Medium,71.0,nan
GRV-1177,2025-08-08,,Ward-20,Waste Management,Overflowing dustbin near bus stop,Open,Website,Medium,37.0,nan
GRV-1178,2026-02-03,2026-02-14,Ward-05,Waste Management,No waste bins available in the area,Closed,Walk-In,Medium,51.0,2.0
GRV-1179,2026-02-13,,Ward-01,Road & Infrastructure,Speed breaker removed without notice,Open,Website,Critical,18.0,nan
GRV-1180,2024-11-11,,Ward-15,Public Property,Encroachment on footpath by shop owners,Open,Phone Call,Critical,67.0,nan
GRV-1181,2025-12-09,2025-12-28,Ward-15,Road & Infrastructure,Speed breaker removed without notice,Resolved,Phone Call,Low,,3.0
GRV-1182,2024-10-17,,Ward-13,Street Lighting,Short circuit sparks from street light,Open,WhatsApp,Medium,,nan
GRV-1183,2024-12-20,,Ward-13,Road & Infrastructure,Broken footpath causing injury to pedestrians,Open,Phone Call,Low,23.0,nan
GRV-1184,2024-12-28,2025-01-06,Ward-16,Noise & Pollution,Construction noise beyond permitted hours,Closed,Phone Call,High,62.0,2.0
GRV-1185,2024-10-16,2024-11-06,Ward-08,Waste Management,Garbage truck does not come on schedule,Resolved,Walk-In,Medium,39.0,5.0
GRV-1186,2026-03-03,2026-03-21,Ward-02,Public Property,Public toilet locked / not accessible,Resolved,Phone Call,High,40.0,4.0
GRV-1187,2025-11-06,,Ward-05,Water Supply,Water meter not working properly,In Progress,Mobile App,Critical,31.0,nan
GRV-1188,2025-04-06,,Ward-05,Road & Infrastructure,Speed breaker removed without notice,Open,WhatsApp,High,60.0,nan
GRV-1189,2024-11-08,,Ward-09,Road & Infrastructure,Road construction debris not cleared,In Progress,Walk-In,Low,46.0,nan
GRV-1190,2025-03-10,,Ward-10,Noise & Pollution,Loud music from nearby event venue,Rejected,Phone Call,High,,nan
GRV-1191,2026-03-30,,,Street Lighting,Street lights not working for 2 weeks,Open,Walk-In,High,30.0,nan
GRV-1192,2024-11-08,,,Public Property,Stray dogs attacking residents near park,Rejected,WhatsApp,Medium,66.0,nan
GRV-1193,2025-06-29,,Ward-18,Noise & Pollution,Loud music from nearby event venue,Open,Mobile App,Medium,,nan
GRV-1194,2025-10-24,,Ward-12,Public Property,Tree fallen on parked vehicles,In Progress,,Low,62.0,nan
GRV-1195,2025-08-20,,Ward-18,Waste Management,No waste bins available in the area,Open,Phone Call,Critical,,nan
GRV-1196,2025-11-03,2025-11-15,Ward-15,Waste Management,Garbage not collected for a week,Resolved,Phone Call,Medium,54.0,3.0
GRV-1197,2025-10-15,,Ward-02,Water Supply,Low water pressure in pipes,Open,Phone Call,Critical,63.0,nan
GRV-1198,2025-05-14,,Ward-18,Water Supply,No water supply for 3 days,Open,Walk-In,Medium,25.0,nan
GRV-1199,2025-05-31,,Ward-05,Road & Infrastructure,Road construction debris not cleared,In Progress,Website,Medium,51.0,nan
GRV-1200,2026-02-18,2026-02-23,Ward-09,Noise & Pollution,Loud music from nearby event venue,Resolved,Mobile App,Medium,71.0,1.0
GRV-1201,2026-03-05,,Ward-08,Waste Management,No waste bins available in the area,In Progress,Phone Call,Low,59.0,nan
GRV-1202,2024-12-01,,Ward-12,Public Property,Tree fallen on parked vehicles,In Progress,Mobile App,Medium,52.0,nan
GRV-1203,2024-12-28,2024-12-30,Ward-15,Waste Management,Garbage not collected for a week,Closed,Mobile App,Medium,28.0,3.0
GRV-1204,2026-03-25,,Ward-02,Public Property,Encroachment on footpath by shop owners,Rejected,Phone Call,Low,,nan
GRV-1205,2025-06-18,,Ward-18,Waste Management,Garbage truck does not come on schedule,Open,Walk-In,Medium,,nan
GRV-1206,2025-03-25,,Ward-05,Noise & Pollution,Factory emitting foul-smelling smoke,Open,WhatsApp,Low,65.0,nan
GRV-1207,2025-01-22,,Ward-18,Noise & Pollution,Factory emitting foul-smelling smoke,Rejected,Phone Call,High,46.0,nan
GRV-1208,2024-11-09,,Ward-12,Water Supply,No water supply for 3 days,Open,Walk-In,Medium,62.0,nan
GRV-1209,2025-09-01,,Ward-05,Water Supply,Low water pressure in pipes,Open,Website,Medium,65.0,nan
GRV-1210,2025-09-10,,Ward-12,Public Property,Park benches broken and vandalised,In Progress,WhatsApp,Medium,44.0,nan
GRV-1211,2024-10-31,,Ward-20,Street Lighting,Broken street light reported multiple times,Open,Mobile App,High,60.0,nan
GRV-1212,2025-09-21,,Ward-01,Noise & Pollution,Dust from road construction affecting residents,Open,Mobile App,Critical,,nan
GRV-1213,2024-11-15,,Ward-04,Noise & Pollution,Loud music from nearby event venue,In Progress,Website,High,57.0,nan
GRV-1214,2025-12-22,2025-12-28,Ward-11,Street Lighting,Street lights not working for 2 weeks,Closed,WhatsApp,Low,36.0,2.0
GRV-1215,2025-05-21,2025-06-18,Ward-19,Waste Management,Illegal dumping of waste on street,Resolved,WhatsApp,High,32.0,5.0
GRV-1216,2025-07-05,,Ward-15,Street Lighting,Broken street light reported multiple times,In Progress,WhatsApp,Medium,67.0,nan
GRV-1217,2026-03-08,2026-03-09,Ward-18,Water Supply,No water supply for 3 days,Closed,Walk-In,Medium,39.0,3.0
GRV-1218,2025-04-28,,Ward-15,Waste Management,No waste bins available in the area,Open,Website,Medium,46.0,nan
